자치구,동,번지,인근지하철역,합계,공공,민간,도로명주소
광진구,구의동,587-64,강변역,84,18,66,구의강변로 53
서대문구,충정로 3가,480,충정로역,499,49,450,경기대로 26-26
성동구,용답동,233-1,장한평역,170,22,148,천호대로 416
마포구,서교동,395-43,합정역,1121,199,922,양화로 72
종로구,숭인동,207-32,동묘역,238,31,207,난계로29길 55
강서구,등촌동,648-5,등촌역,285,19,266,공항대로59가길 14
강서구,염창동,274-17,등촌역,520,49,471,공항대로 543
동작구,노량진동,37-1외7,노량진역,273,37,236,노량진로8길 55
동대문구,휘경동,192-1,회기역,99,8,91,망우로21나길 6
용산구,한강로2가,2-350일대,삼각지역,1226,421,805,백범로99길 40
서초구,서초동,1502-12외1,서초역,280,68,212,반포대로27길 13
강서구,화곡동,401-1,화곡역,57,9,48,강서로 145
마포구,창전동,19-8 외1,광흥창역,681,120,561,서강로 75-16
마포구,상수동,355-2,상수역,95,27,68,토정로 131
영등포구,도림동,250-20,도림사거리역,99,18,81,도신로 59
강서구,화곡동,1013-3외4,우장산역,572,87,485,강서로 231
강동구,천호동,458-3외7,천호역,225,50,175,천호대로 989
강서구,등촌동,671-1,발산역,252,53,199,강서로56길 44
중랑구,상봉동,109-34,상봉역,83,6,77,봉우재로 111
강서구,화곡동,1073-11,화곡역,83,6,77,화곡로 146
중랑구,묵동,176-39외3,먹골역,235,24,211,공릉로2길 8-4
광진구,구의동,593-11,강변역,98,28,70,구의강변로 51
노원구,공릉동,617-3외2,태릉입구역,270,75,195,동일로 1000
도봉구,쌍문동,103-6,쌍문역,288,70,218,도봉로 445
